UTC_TX,Latitude_raw_TX,Latitude_dir_TX,Longitude_raw_TX,Longitude_dir_TX,speed_raw_TX,heading_raw_TX,seq_num_TX,UTC_RX,Latitude_raw_RX,Latitude_dir_RX,Longitude_raw_RX,Longitude_dir_RX,speed_raw_RX,heading_raw_RX,IPG,Latency,Distance_RXTX,UTC_RAW_GPS,diff
163016.40,4437.11124,N,01056.54570,E,29.419,215.18,292,163016.701282,4437.12408,N,01056.56079,E,40.824,215.31,600.020000,301.282000,24.228417,163017.00,298718
163016.90,4437.10790,N,01056.54237,E,29.409,215.69,293,163017.003469,4437.12316,N,01056.55985,E,40.880,215.60,302.187000,103.469000,28.769343,163017.10,96531
163017.30,4437.10523,N,01056.53970,E,29.592,215.14,294,163017.311225,4437.12041,N,01056.55709,E,40.583,215.54,307.756000,11.225000,28.618616,163017.40,88775
163017.80,4437.10188,N,01056.53634,E,29.822,215.88,295,163017.810299,4437.11589,N,01056.55262,E,39.758,215.35,499.074000,10.299000,26.425701,163017.90,89701
163018.40,4437.09786,N,01056.53221,E,30.236,216.43,296,163018.413666,4437.11055,N,01056.54724,E,39.188,215.70,603.367000,13.666000,23.952029,163018.50,86334
163018.80,4437.09517,N,01056.52943,E,30.148,216.48,297,163018.812639,4437.10703,N,01056.54371,E,38.709,215.40,398.973000,12.639000,22.398884,163018.90,87361
163019.20,4437.09245,N,01056.52662,E,30.409,216.28,298,163019.211633,4437.10270,N,01056.53933,E,38.340,215.93,398.994000,11.633000,19.379980,163019.40,188367
163019.60,4437.08968,N,01056.52389,E,30.603,214.47,299,163019.610341,4437.09927,N,01056.53585,E,37.937,216.12,398.708000,10.341000,18.136208,163019.80,189659
163020.00,4437.08691,N,01056.52097,E,31.383,217.19,300,163020.018245,4437.09673,N,01056.53329,E,37.535,215.47,407.904000,18.245000,18.575593,163020.10,81755
163020.50,4437.08337,N,01056.51724,E,31.994,216.98,301,163020.508411,4437.09171,N,01056.52819,E,36.999,215.84,490.166000,8.411000,15.806140,163020.70,191589
163020.80,4437.08123,N,01056.51493,E,32.619,217.55,302,163020.815222,4437.09006,N,01056.52648,E,36.809,216.37,306.811000,15.222000,16.732065,163020.90,84778
163021.10,4437.07905,N,01056.51261,E,33.052,217.58,303,163021.110280,4437.08679,N,01056.52311,E,36.469,216.47,295.058000,10.280000,14.690709,163021.30,189720
163021.50,4437.07610,N,01056.50948,E,33.622,217.00,304,163021.509228,4437.08354,N,01056.51974,E,36.244,216.35,398.948000,9.228000,14.132283,163021.70,190772
163021.80,4437.07385,N,01056.50708,E,34.178,217.32,305,163021.810235,4437.08193,N,01056.51806,E,36.117,216.68,301.007000,10.235000,15.337268,163021.90,89765
163022.10,4437.07158,N,01056.50466,E,34.247,217.24,306,163022.110265,4437.07873,N,01056.51471,E,35.917,216.81,300.030000,10.265000,13.594134,163022.30,189735
163022.50,4437.06854,N,01056.50142,E,34.419,217.28,307,163022.513320,4437.07555,N,01056.51138,E,35.571,216.51,403.055000,13.320000,13.335201,163022.70,186680
