UTC,Latitude_raw,Latitude_dir,Longitude_raw,Longitude_dir,speed_raw,heading_raw,seq_num,trig_S,trig_H,trig_D,trig_TO
162958.400000,4437.233000,N,1056.668510,E,30.165000,214.370000,249,0,0,1,0
162958.900000,4437.229570,N,1056.665130,E,30.107000,214.870000,250,0,0,1,0
162959.300000,4437.226810,N,1056.662420,E,30.343000,214.560000,251,0,0,1,0
162959.700000,4437.224070,N,1056.659670,E,30.495000,215.550000,252,0,0,1,0
163000.000000,4437.222010,N,1056.657610,E,30.457000,215.670000,253,0,0,0,1
163000.400000,4437.219260,N,1056.654860,E,30.284000,215.390000,254,0,0,1,0
163000.800000,4437.216490,N,1056.652120,E,30.342000,214.950000,255,0,0,1,0
163001.200000,4437.213740,N,1056.649380,E,30.413000,215.050000,256,0,0,1,0
163001.600000,4437.210980,N,1056.646620,E,30.508000,215.860000,257,0,0,1,0
163002.000000,4437.208220,N,1056.643890,E,30.411000,215.000000,258,0,0,1,0
163002.500000,4437.204760,N,1056.640430,E,30.636000,215.380000,259,0,0,1,0
163002.900000,4437.202010,N,1056.637640,E,30.423000,216.100000,260,0,0,1,0
163003.400000,4437.198550,N,1056.634160,E,30.770000,215.920000,261,0,0,1,0
163003.900000,4437.195100,N,1056.630680,E,30.613000,216.000000,262,0,0,1,0
163004.400000,4437.191640,N,1056.627170,E,30.597000,216.260000,263,0,0,1,0
163004.800000,4437.188910,N,1056.624370,E,30.455000,215.890000,264,0,0,1,0
163005.200000,4437.186180,N,1056.621570,E,30.620000,216.550000,265,0,0,1,0
163005.600000,4437.183460,N,1056.618810,E,30.270000,216.130000,266,0,0,1,0
163006.000000,4437.180740,N,1056.616050,E,30.321000,215.710000,267,0,0,1,0
163006.400000,4437.178000,N,1056.613270,E,30.408000,215.680000,268,0,0,1,0
163006.800000,4437.175260,N,1056.610480,E,30.520000,215.990000,269,0,0,1,0
163007.400000,4437.171120,N,1056.606300,E,30.709000,215.750000,270,0,0,1,0
163007.900000,4437.167670,N,1056.602820,E,30.530000,215.670000,271,0,0,1,0
163008.300000,4437.164920,N,1056.600050,E,30.376000,215.580000,272,0,0,1,0
163008.700000,4437.162190,N,1056.597260,E,30.287000,216.260000,273,0,0,1,0
163009.100000,4437.159480,N,1056.594490,E,30.093000,216.110000,274,0,0,1,0
163009.500000,4437.156790,N,1056.591750,E,29.959000,216.340000,275,0,0,1,0
163009.900000,4437.154100,N,1056.589030,E,29.835000,215.670000,276,0,0,1,0
163010.300000,4437.151430,N,1056.586350,E,29.429000,215.500000,277,0,0,1,0
163010.700000,4437.148790,N,1056.583650,E,29.382000,215.710000,278,0,0,1,0
163011.100000,4437.146170,N,1056.580940,E,29.255000,216.200000,279,0,0,1,0
163011.500000,4437.143560,N,1056.578280,E,28.947000,215.910000,280,0,0,1,0
163011.900000,4437.140960,N,1056.575610,E,28.878000,215.620000,281,0,0,1,0
163012.300000,4437.138380,N,1056.572920,E,29.060000,216.630000,282,0,0,1,0
163012.800000,4437.135140,N,1056.569590,E,29.050000,216.140000,283,0,0,1,0
163013.200000,4437.132540,N,1056.566930,E,28.821000,215.800000,284,0,0,1,0
163013.600000,4437.129930,N,1056.564240,E,29.193000,216.900000,285,0,0,1,0
163014.000000,4437.127280,N,1056.561580,E,29.209000,215.230000,286,0,0,1,0
163014.400000,4437.124610,N,1056.558920,E,29.657000,215.620000,287,0,0,1,0
163014.800000,4437.121920,N,1056.556330,E,29.751000,214.580000,288,0,0,1,0
163015.200000,4437.119250,N,1056.553690,E,29.608000,214.990000,289,0,0,1,0
163015.600000,4437.116560,N,1056.551030,E,29.945000,215.370000,290,0,0,1,0
163016.000000,4437.113900,N,1056.548360,E,29.778000,215.600000,291,0,0,1,0
163016.400000,4437.111240,N,1056.545700,E,29.419000,215.180000,292,0,0,1,0
163016.900000,4437.107900,N,1056.542370,E,29.409000,215.690000,293,0,0,1,0
163017.300000,4437.105230,N,1056.539700,E,29.592000,215.140000,294,0,0,1,0
163017.800000,4437.101880,N,1056.536340,E,29.822000,215.880000,295,0,0,1,0
163018.400000,4437.097860,N,1056.532210,E,30.236000,216.430000,296,0,0,1,0
163018.800000,4437.095170,N,1056.529430,E,30.148000,216.480000,297,0,0,1,0
163019.200000,4437.092450,N,1056.526620,E,30.409000,216.280000,298,0,0,1,0
163019.600000,4437.089680,N,1056.523890,E,30.603000,214.470000,299,0,0,1,0
163020.000000,4437.086910,N,1056.520970,E,31.383000,217.190000,300,0,0,1,0
163020.500000,4437.083370,N,1056.517240,E,31.994000,216.980000,301,0,0,1,0
163020.800000,4437.081230,N,1056.514930,E,32.619000,217.550000,302,0,0,1,0
163021.100000,4437.079050,N,1056.512610,E,33.052000,217.580000,303,0,0,1,0
163021.500000,4437.076100,N,1056.509480,E,33.622000,217.000000,304,0,0,1,0
163021.800000,4437.073850,N,1056.507080,E,34.178000,217.320000,305,0,0,1,0
163022.100000,4437.071580,N,1056.504660,E,34.247000,217.240000,306,0,0,1,0
163022.500000,4437.068540,N,1056.501420,E,34.419000,217.280000,307,0,0,1,0
163023.000000,4437.064700,N,1056.497270,E,34.938000,217.930000,308,0,0,1,0
163023.400000,4437.061650,N,1056.493850,E,35.358000,219.310000,309,0,0,1,0
163023.700000,4437.059370,N,1056.491230,E,35.181000,219.330000,310,0,0,1,0
163024.000000,4437.057100,N,1056.488560,E,35.510000,219.980000,311,0,0,1,0
163024.400000,4437.054110,N,1056.484940,E,35.541000,220.900000,312,0,0,1,0
163024.700000,4437.051880,N,1056.482200,E,35.746000,221.460000,313,0,0,1,0
163025.000000,4437.049670,N,1056.479420,E,35.692000,222.180000,314,0,0,1,0
163025.400000,4437.046750,N,1056.475640,E,35.865000,222.700000,315,0,0,1,0
163025.700000,4437.044590,N,1056.472780,E,35.747000,223.450000,316,0,0,1,0
